code_muni,name_muni,name_state,abbrev_state,pop_2022_ibge,area_km2_ibge,densidade_2022_ibge_hab_km2,mean_radiance,median_radiance,sum_radiance,max_radiance,percent_area_above_1,share_radiancia_total_ce_pct,radiancia_total_per_capita_2022,hotspot_index_max_over_mean,log1p_densidade_2022,log1p_radiancia_media,radiancia_media_esperada_log,radiancia_media_esperada,residuo_luminoso_log,residuo_luminoso_std,residuo_luminoso_percentil,classe_residuo_luminoso,perfil_luminoso,rank_radiancia_total,rank_radiancia_media,rank_residuo_luminoso,rank_radiancia_per_capita,rank_area_acima_1,rank_hotspot_index
2304285,Eusébio,Ceará,CE,74170,79,941.03,17.015298964102058,14.05158805847168,5376.83447265625,54.28256988525391,100.0,1.5671289779319613,0.07249338644541256,3.190221341193362,6.848037121203012,2.8912213393497312,1.8736206423049748,5.511830778792772,1.0176006970447564,4.817484959055764,100.0,muito mais luminoso que o esperado,brilho excedente espalhado,10,3,1,15,1,184
2307650,Maracanaú,Ceará,CE,234392,105,2230.8,21.654117647058825,14.803384780883787,9203.0,165.94635009765625,98.82352941176472,2.6823009072070203,0.03926328543636302,7.663500900602728,7.7105637137516005,3.1203416299785456,2.265738915634545,8.638243819583291,0.8546027143440007,4.045826358292458,99.45652173913044,muito mais luminoso que o esperado,brilho excedente espalhado,5,2,2,112,3,179
2304400,Fortaleza,Ceará,CE,2428678,312,7775.43,38.12459142234548,36.45138549804688,48113.234375,137.8916778564453,99.84177215189874,14.023054679205313,0.019810462471764476,3.6168696557363695,8.958852642965287,3.6667512059264413,2.83323086749818,16.000297901123503,0.8335203384282615,3.946019008346464,98.91304347826086,muito mais luminoso que o esperado,brilho excedente espalhado,1,1,3,182,2,183
2301000,Aquiraz,Ceará,CE,80243,480,167.09,4.498194442206034,2.750405550003052,8721.9990234375,45.95122146606445,88.91181021144921,2.5421086486173152,0.10869482725518113,10.215481355073052,5.124499550245303,1.7044197551064215,1.0900731178795096,1.9744915531270935,0.614346637226912,2.9084155436235584,98.36956521739131,muito mais luminoso que o esperado,brilho excedente espalhado,6,6,4,3,5,175
2312403,São Gonçalo Do Amarante,Ceará,CE,54021,843,64.11,2.2001275674235745,0.6202181577682495,7484.833984375,276.3960266113281,34.19506462984724,2.181525262043138,0.138554154576461,125.6272729718896,4.176078147248771,1.1631906738309672,0.658905700962032,0.9326762510369887,0.5042849728689351,2.387365966758069,97.82608695652173,muito mais luminoso que o esperado,brilho excedente espalhado,7,12,5,1,20,29
2307304,Juazeiro Do Norte,Ceará,CE,286120,259,1105.62,9.870218854465138,2.5843331813812256,10334.119140625,86.39691162109375,77.5549188156638,3.0119762192854362,0.03611812924865441,8.753292392625701,7.009065603678602,2.386026834735876,1.9468267452248131,6.006419114605011,0.43920008951106304,2.0792436870180646,97.28260869565217,muito mais luminoso que o esperado,brilho excedente espalhado,4,4,6,136,8,177
2300408,Aiuaba,Ceará,CE,14076,2439,5.77,0.0531564159711684,0.0,525.451171875,11.276582717895508,0.981284774911482,0.15314768608207155,0.037329580269607844,212.13963168382534,1.9125010869241836,0.05179176530288844,-0.37015234328939894,-0.30937089008763624,0.42194410859228737,1.9975511048771755,96.73913043478261,muito mais luminoso que o esperado,brilho excedente pontual,144,184,7,130,182,8
2301505,Arneiroz,Ceará,CE,7429,1068,6.95,0.0579637387517305,0.0,251.21484375,4.926928043365479,1.2459621596677437,0.07321892896821633,0.0338154319221968,85.00017535908536,2.0731719286662407,0.05634605945720246,-0.2971088295211496,-0.25703684836202184,0.35345488897835203,1.6733121511246813,96.19565217391305,muito mais luminoso que o esperado,perfil intermediário,179,182,8,145,179,58
2300705,Alto Santo,Ceará,CE,14155,1147,12.34,0.3378836572598278,0.0,1835.046142578125,38.97806930541992,6.7943288528816055,0.5348414574599639,0.12963943077203285,115.35943912222689,2.590767040487478,0.29108900520482267,-0.06180187981717733,-0.05993088499237312,0.352890885022,1.670642065909071,95.65217391304348,muito mais luminoso que o esperado,brilho excedente pontual,44,112,9,2,111,35
2305605,Independência,Ceará,CE,24024,3222,7.46,0.067682911385196,0.0,882.043701171875,21.114070892333984,0.8901166359729895,0.2570799326143169,0.03671510577638507,311.9557085866798,2.135349173618132,0.06549079700257134,-0.26884206749716955,-0.23573605176452522,0.33433286449974087,1.5827854193919555,95.1086956521739,muito mais luminoso que o esperado,brilho excedente pontual,99,180,10,133,183,3
2306702,Jaguaretama,Ceará,CE,17232,1827,9.43,0.1058330216106045,0.0,782.7410278320312,23.29913330078125,1.703623580313683,0.228137234495492,0.045423690101673124,220.1499373830288,2.344686269012681,0.10059891666664535,-0.1736741027073605,-0.15942920722919468,0.27427301937400583,1.2984524768372576,94.56521739130434,muito mais luminoso que o esperado,brilho excedente pontual,106,175,11,74,172,6
2312502,São João Do Jaguaribe,Ceará,CE,5855,279,20.95,0.5325765332461454,0.0,604.474365234375,19.180736541748047,17.180616740088105,0.17617973902548645,0.10324071139784373,36.01498621958272,3.08876713952118,0.42695032770925323,0.16459686619023928,0.17891776129300022,0.26235346151901395,1.242023377631862,94.02173913043478,muito mais luminoso que o esperado,brilho excedente espalhado,135,78,12,4,58,127
2312205,Santa Quitéria,Ceará,CE,40183,4262,9.43,0.0905986973453119,0.0,1558.8411865234375,30.15865135192871,1.4471695920027898,0.4543389252204155,0.03879354917560753,332.8817290175703,2.344686269012681,0.08672680907055579,-0.1736741027073605,-0.15942920722919468,0.2604009117779163,1.2327796938992708,93.47826086956522,muito mais luminoso que o esperado,brilho excedente pontual,51,178,13,115,175,2
