country_or_region,is_nonindependent_territory,population_pct_≤1.7_µcd_m2,population_pct_>1.7_µcd_m2,population_pct_>14_µcd_m2,population_pct_>87_µcd_m2,population_pct_>688_µcd_m2,population_pct_>3000_µcd_m2,area_pct_≤1.7_µcd_m2,area_pct_>1.7_µcd_m2,area_pct_>14_µcd_m2,area_pct_>87_µcd_m2,area_pct_>688_µcd_m2,area_pct_>3000_µcd_m2,source_url
Afghanistan,False,39.1,60.9,37.2,26.5,11.6,0.0,79.4,20.6,4.0,0.8,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Albania,False,0.0,100.0,98.5,75.6,37.1,10.3,0.0,100.0,87.5,23.8,1.7,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Algeria,False,0.3,99.7,98.5,91.9,52.1,19.2,66.4,33.6,19.3,8.7,1.1,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
American Samoa,True,0.0,100.0,100.0,99.7,0.0,0.0,0.0,100.0,100.0,97.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Andorra,False,0.0,100.0,100.0,100.0,43.6,0.0,0.0,100.0,100.0,98.1,1.5,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Angola,False,55.2,44.8,33.2,27.5,15.2,7.0,88.5,11.5,2.9,0.8,0.2,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Anguilla,True,0.0,100.0,100.0,99.3,0.0,0.0,0.0,100.0,100.0,95.5,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Antigua and Barbuda,False,0.0,100.0,100.0,100.0,58.1,0.0,0.0,100.0,100.0,98.7,13.7,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Argentina,False,1.4,98.6,94.3,87.3,75.8,57.7,38.4,61.6,26.0,6.1,0.9,0.2,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Armenia,False,0.0,100.0,86.3,57.9,31.3,0.0,0.0,100.0,35.1,6.2,0.3,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Aruba,True,0.0,100.0,100.0,100.0,68.3,0.0,0.0,100.0,100.0,100.0,23.9,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Australia,False,2.0,98.0,94.7,88.0,66.7,13.1,88.1,11.9,3.4,0.9,0.2,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Austria,False,0.0,100.0,99.9,88.7,35.7,10.3,0.0,100.0,97.8,40.0,1.8,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Azerbaijan,False,0.0,100.0,95.2,71.2,34.6,15.3,18.6,81.4,51.1,13.0,1.3,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Bangladesh,False,1.1,98.9,79.2,32.2,10.4,0.0,5.3,94.7,60.7,11.5,0.6,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Barbados,False,0.0,100.0,100.0,100.0,6.0,0.0,0.0,100.0,100.0,99.7,1.4,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Belarus,False,0.0,100.0,92.7,74.9,48.5,12.0,0.0,100.0,63.2,10.3,0.9,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Belgium,False,0.0,100.0,100.0,100.0,86.8,22.2,0.0,100.0,100.0,100.0,51.1,2.6,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Belize,False,5.6,94.4,77.8,55.9,4.2,0.0,33.2,66.8,19.7,3.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Benin,False,34.4,65.6,44.1,27.8,6.6,0.0,84.5,15.5,3.8,1.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Bhutan,False,12.3,87.7,51.0,20.7,0.0,0.0,43.6,56.4,8.6,0.4,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Bolivia,False,13.0,87.0,72.5,63.4,48.9,12.0,77.2,22.8,5.5,1.2,0.1,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Bosnia and Herzegovina,False,0.0,100.0,98.9,79.0,26.2,0.0,0.0,100.0,88.7,26.0,0.7,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Botswana,False,22.7,77.3,59.3,43.0,11.5,0.0,89.6,10.4,2.2,0.4,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Brazil,False,1.2,98.8,94.7,86.7,62.5,32.3,52.6,47.4,21.6,5.7,0.7,0.1,https://www.science.org/doi/10.1126/sciadv.1600377#T2
British Virgin Islands,True,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Brunei,False,0.0,100.0,99.9,98.8,91.3,44.9,0.0,100.0,76.4,44.8,12.5,1.6,https://www.science.org/doi/10.1126/sciadv.1600377#T2
Bulgaria,False,0.0,100.0,99.2,77.3,37.0,4.9,0.0,100.0,94.6,19.5,0.9,0.0,https://www.science.org/doi/10.1126/sciadv.1600377#T2
